name,price,link
"Dell Vostro 14 3400 Core i3 11th Gen 14"" HD Laptop","48,500",https://www.startech.com.bd/dell-vostro-14-3400-laptop
"Asus VivoBook 14 X415EA Core i3 11th Gen 14"" FHD Laptop","56,000",https://www.startech.com.bd/asus-vivobook-14-x415ea-core-i3-11th-gen-laptop
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 5 5500U 14"" Touchscreen Laptop","91,500",https://www.startech.com.bd/lenovo-ideapad-flex-5-14alc7-amd-ryzen-5-laptop
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 7 5700U 15.6"" FHD Laptop","80,500",https://www.startech.com.bd/lenovo-ideapad-3-15alc6-amd-ryzen-7-5700u-laptop
"Lenovo IdeaPad Flex 5 14ALC7 AMD Ryzen 7 5700U 14"" Touchscreen Laptop","99,500",https://www.startech.com.bd/lenovo-ideapad-flex-5-14alc7-amd-ryzen-7-laptop
"ASUS VivoBook 15 X515EA Core i5 11th Gen 512GB SSD 15.6"" FHD Laptop","76,500",https://www.startech.com.bd/asus-vivobook-15-x515ea-i5-11th-gen-512-gb-ssd-fhd-laptop
"DOEL Freedom A9 AMD A9-9425 14.1"" HD Laptop","26,999",https://www.startech.com.bd/doel-freedom-a9-amd-a9-9425-laptop
"Toshiba Dynabook Satellite Pro C40-G-13F Celeron 5205U 14"" HD Laptop","31,000",https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-13f-laptop
"Acer TravelMate TMB 311-31-C3CD Celeron N4020 11.6"" HD Laptop","34,500",https://www.startech.com.bd/acer-travelmate-tmb-311-31-c3cd-celeron-n4020-aptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" HD Laptop","35,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-hd-laptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 256GB SSD 15.6"" HD Laptop","35,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-celeron-n4020-hd-laptop
"Lenovo IdeaPad D330 10IGL Intel CDC N4020 10.1"" HD Touch Laptop","35,800",https://www.startech.com.bd/lenovo-ideapad-d330-cdc-n4020-laptop
"Lenovo IdeaPad Slim 3i 15IGL Intel Celeron N4020 15.6"" HD Laptop","36,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-laptop
"Lenovo IdeaPad Slim 3i Intel Celeron N4020 15.6"" FHD Laptop","35,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-intel-celeron-n4020-fhd-laptop
"Asus Vivobook E210MA Celeron N4020 11.6"" HD Laptop","37,000",https://www.startech.com.bd/asus-vivobook-e410ma-celeron-n4020-hd-laptop
Asus P1511CMA Intel Celeron N4020 15.6-Inch HD Laptop,"37,500",https://www.startech.com.bd/asus-p1511cma-intel-celeron-n4020-hd-laptop
"Walton Prelude N40 Pro Celeron N4020 14"" FHD Laptop","39,750",https://www.startech.com.bd/walton-prelude-n40-pro-celeron-n4020-laptop
"Walton Prelude N41 Pro Celeron N4120 14"" FHD Laptop","42,550",https://www.startech.com.bd/walton-prelude-n41-pro-celeron-n4120-laptop
"HP 15s-fq3617TU Celeron N4500 15.6"" FHD Laptop","43,500",https://www.startech.com.bd/hp-15s-fq3617tu-celeron-n4500-laptop
"Walton Prelude N50 Pro Pentium Silver N5030 14"" FHD Laptop","43,750",https://www.startech.com.bd/walton-prelude-n50-pro-pentium-silver-n5030-laptop
"Asus Vivobook E410MA Celeron N4020 14"" HD Laptop","45,000",https://www.startech.com.bd/asus-vivobook-e410ma-celeron-n4020-14-inch-hd-laptop
"Toshiba Dynabook Satellite Pro C40-G-11I Core i3 10th Gen 14"" HD Laptop","45,000",https://www.startech.com.bd/toshiba-dynabook-satellite-pro-c40-g-11i-laptop
"Acer Extensa 15 EX215-54-37AH Core i3 11th Gen 15.6"" FHD Laptop","45,200",https://www.startech.com.bd/acer-extensa-15-ex215-54-37ah-core-i3-11th-gen-laptop
"Acer Extensa 15 EX215-54-34SE Core i3 11th Gen 15.6"" FHD Laptop","46,500",https://www.startech.com.bd/acer-extensa-15-ex215-54-34se-core-i3-11th-gen-laptop
"Asus VivoBook 15 E510MA Intel Celeron N4020 15.6"" FHD Laptop","47,000",https://www.startech.com.bd/asus-vivobook-15-e510ma-celeron-n4020-fhd-laptop
"Asus ExpertBook BR1100FKA Celeron N4500 11.6"" 360° HD LED Touch Education Laptop","47,500",https://www.startech.com.bd/asus-expertbook-br1100fka-celeron-n4500-hd-led-touch-laptop
"HP 15s-eq1578AU AMD Athlon 3050U 15.6"" FHD Laptop","48,900",https://www.startech.com.bd/hp-15s-eq1578au-amd-athlon-3050u-fhd-laptop
"DOEL T10 Core i3 10th Gen 14"" FHD Laptop","49,499",https://www.startech.com.bd/doel-t10-core-i3-10th-gen-laptop
"Walton Passion BX310U Core i3 10th Gen 15.6"" FHD Laptop","49,850",https://www.startech.com.bd/walton-passion-bx310u-core-i3-10th-gen-laptop
"Lenovo IdeaPad 1 15ADA7 AMD Ryzen 3 3250U 15.6"" FHD Laptop","49,900",https://www.startech.com.bd/lenovo-ideapad-1-15ada7-ryzen-3-fhd-laptop
"Acer TravelMate TMP214-54 Core i5 12th Gen 14"" FHD Laptop","80,000",https://www.startech.com.bd/acer-travelmate-tmp214-54-core-i5-12th-gen-laptop
"Acer TravelMate TMP214-54 Core i7 12th Gen 14"" FHD Laptop","98,000",https://www.startech.com.bd/acer-travelmate-tmp214-54-core-i7-12th-gen-laptop
"Acer TravelMate TMP215-53 Core i3 11th Gen 15.6"" FHD Laptop","50,500",https://www.startech.com.bd/acer-travelmate-tmp215-53-core-i3-11th-gen-laptop
"Acer TravelMate TMP214-54 Core i3 12th Gen 14"" HD Laptop","62,000",https://www.startech.com.bd/acer-travelmate-tmp214-54-laptop
"ASUS VivoBook 15 M515DA Ryzen 3 3250U 15.6"" HD Laptop","50,500",https://www.startech.com.bd/asus-vivobook-15-m515da-ryzen-3-3250u-hd-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 256GB SSD 15.6"" Full HD Laptop with Windows 11","51,400",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-256gb-ssd-laptop
"Acer Aspire 3 A315-24P Ryzen 3 7320U 15.6"" FHD Laptop","51,400",https://www.startech.com.bd/acer-aspire-3-a315-24p-ryzen-3-7320u-laptop
"ASUS VivoBook 15 X515JA Core i3 10th Gen 512GB SSD 15.6"" FHD Laptop","51,500",https://www.startech.com.bd/asus-vivobook-15-x515ja-i3-10th-gen-fhd-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD WV Laptop","51,900",https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 15.6"" FHD Laptop","51,900",https://www.startech.com.bd/asus-vivobook-15-x515ea-i3-11th-gen-15-6-inch-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 4GB RAM 15.6"" FHD Laptop","52,900",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-laptop
"Lenovo IdeaPad Slim 1 15AMN7 Ryzen 3 7320U 15.6"" FHD Laptop","53,000",https://www.startech.com.bd/lenovo-ideapad-slim-1-15amn7-ryzen-3-7320u-fhd-laptop
"Acer Extensa 15 EX215-23 AMD Ryzen 3 7320U 15.6"" Laptop","53,500",https://www.startech.com.bd/acer-extensa-15-ex215-23-amd-ryzen-3-7320u-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop","53,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-512gb-ssd-laptop
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop with Windows 11","55,000",https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-laptop
"ASUS VivoBook 15 D515DA Ryzen 3 3250U 15.6"" FHD Laptop","55,500",https://www.startech.com.bd/asus-vivobook-15-d515da-ryzen-3-3250u-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 14"" FHD Laptop Abyss Blue","55,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-gen-14-inch-fhd-laptop-abyss-blue
"HP 15s-eq2618AU Ryzen 3 5300U 15.6"" HD Laptop","55,500",https://www.startech.com.bd/hp-15s-eq2618au-ryzen-3-5300u-laptop
"Lenovo V14 Core i3 11th Gen 256GB SSD 14"" FHD Laptop","53,500",https://www.startech.com.bd/lenovo-v14-core-i3-11th-gen-14-inch-fhd-laptop
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14"" FHD Laptop","56,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-14iau7-core-i3-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14"" FHD Laptop Abyss Blue","56,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-14iau7-core-i3-laptop
"Lenovo IdeaPad Slim 3i 14IAU7 Core i3 12th Gen 14"" FHD Laptop Misty Blue","56,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-14iau7-core-i3-14-inch-fhd-laptop
"Dell Latitude 3520 Core i3 11th Gen 15.6"" HD Laptop","56,500",https://www.startech.com.bd/dell-latitude-3520-core-i3-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop","56,800",https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-11th-gen-fhd-laptop
"Dell Inspiron 15 3525 Ryzen 3 5425U 15.6"" FHD Laptop","58,900",https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-3-5425u-fhd-laptop
"Dell Inspiron 15 3520 Core i3 12th Gen 15.6"" FHD Laptop","64,500",https://www.startech.com.bd/dell-inspiron-15-3520-core-i3-fhd-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i3 8GB RAM 14"" FHD Laptop with Windows 11","56,900",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-11th-fhd-gen-8gb-ram-14-inch-laptop
"Walton Tamarind MX311G Core i3 11th Gen 14"" FHD Laptop","57,500",https://www.startech.com.bd/walton-tamarind-mx311g-core-i3-11th-gen-laptop
"Dell Inspiron 15 3525 Ryzen 5 5625U 15.6"" FHD Laptop","71,500",https://www.startech.com.bd/dell-inspiron-15-3525-ryzen-5-fhd-laptop
"Dell Latitude 3520 Core i5 11th Gen 15.6"" HD Laptop","72,000",https://www.startech.com.bd/dell-latitude-3520-core-i5-11th-gen-laptop
"Lenovo IdeaPad Slim 3i 14ITL6 Core i3 11th Gen 512GB SSD 14"" FHD Laptop","57,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i3-laptop
"Dell Latitude 3520 Core i5 11th Gen 512GB SSD 15.6"" HD Laptop","76,000",https://www.startech.com.bd/dell-latitude-3520-i5-11th-gen-hd-laptop
"Acer Aspire 3 A315-59 Core i3 12th Gen 15.6"" FHD Laptop","58,000",https://www.startech.com.bd/acer-aspire-3-a315-59-core-i3-12th-gen-laptop
"Dell Latitude 3420 Core i5 11th Gen 14"" FHD Laptop","76,000",https://www.startech.com.bd/dell-latitude-3420-i5-11th-gen-laptop
"Acer A315-59-390P Core i3 12th Gen 15.6"" FHD Laptop","58,000",https://www.startech.com.bd/acer-a315-59-390p-core-i3-12th-gen-fhd-laptop
"Dell Latitude 3520 Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","78,500",https://www.startech.com.bd/dell-latitude-3520-core-i5-11th-gen-fhd-laptop
"Acer Aspire 3 A315-59-34TO Core i3 12th Gen 15.6"" FHD Laptop","58,000",https://www.startech.com.bd/acer-aspire-3-a315-59-34to-core-i3-12th-gen-fhd-laptop
"Acer Aspire 3 A315-59-39P4 Core i3 12th Gen 15.6"" FHD Laptop","58,000",https://www.startech.com.bd/acer-aspire-3-a315-59-39p4-core-i3-12th-gen-fhd-laptop
"Dell Inspiron 15 3520 Core i5 12th Gen 15.6"" FHD Laptop","81,500",https://www.startech.com.bd/dell-inspiron-15-3520-core-i5-fhd-laptop
"Dell Vostro 14 3400 Core i7 11th Gen MX330 2GB Graphics 14"" FHD Laptop With Backlit Keyboard","85,000",https://www.startech.com.bd/dell-vostro-14-3400-core-i7-laptop
"Dell Latitude 14 3420 Core i7 11th Gen 14"" FHD Laptop","90,500",https://www.startech.com.bd/dell-latitude-14-3420-core-i7-11th-gen-fhd-laptop
"Acer Aspire 3 A315-510P Core i3-N305 15.6"" FHD Laptop","58,900",https://www.startech.com.bd/acer-aspire-3-a315-510p-core-i3-n305-laptop
"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop","59,500",https://www.startech.com.bd/asus-vivobook-15-x515ea-core-i3-laptop
"Dell Inspiron 15 3520 Core i7 12th Gen 15.6"" FHD Laptop","94,500",https://www.startech.com.bd/dell-inspiron-15-3520-core-i7-fhd-laptop
"HP 15s-fq5487TU Core i3 12th Gen 15.6"" FHD Laptop","59,500",https://www.startech.com.bd/hp-15s-fq5487tu-core-i3-12th-gen-laptop
"Dell Latitude 3420 Core i7 11th Gen MX350 2GB Graphics 14"" FHD Laptop","92,500",https://www.startech.com.bd/dell-latitude-3420-core-i7-11th-gen-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop","60,000",https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-10th-gen-fhd-laptop
"Asus ExpertBook B1 B1500CEAE Core i3 11th Gen 1TB HDD 15.6"" FHD Laptop","58,000",https://www.startech.com.bd/asus-expertbook-b1-b1500ceae-core-i3-fhd-laptop
"Lenovo IdeaPad Slim 3i Core i3 11th Gen 512GB SSD 14"" FHD Laptop","61,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i3-11th-gen-14-inch-fhd-laptop
"Acer Aspire 3 A315-24P Ryzen 5 7520U 15.6"" FHD Laptop","64,000",https://www.startech.com.bd/acer-aspire-3-a315-24p-ryzen-5-7520u-laptop
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop","62,800",https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-laptop
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop","62,800",https://www.startech.com.bd/asus-vivobook-15-x1500ea-core-i3-11th-gen-fhd-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop","63,000",https://www.startech.com.bd/asus-vivobook-15-x515ja-core-i5-laptop
"Acer Aspire 5 5P-A515-58P Core i3 13th Gen 15.6"" FHD Laptop","63,500",https://www.startech.com.bd/acer-aspire-5-5p-a515-58p-i3-13th-gen-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 256GB SSD 15.6"" FHD Laptop","63,900",https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-fhd-laptop
"Huawei MateBook D15 Core i3 11th Gen 15.6"" FHD Laptop","60,500",https://www.startech.com.bd/huawei-matebook-d15-core-i3-11th-gen-laptop
"HUAWEI MateBook B3-520 Core i3 11th Gen 15.6"" FHD Laptop","59,800",https://www.startech.com.bd/huawei-matebook-b3-520-core-i3-11th-gen-laptop
"Acer Extensa 15 EX215-54-57SB Core i5 11th Gen 15.6"" FHD Laptop","64,000",https://www.startech.com.bd/acer-extensa-15-ex215-54-57sb-core-i5-11th-gen-laptop
"Lenovo IdeaPad Slim 3i 15IAU7 Core i3 12th Gen 15.6"" FHD Laptop","64,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15iau7-core-i3-12th-gen-laptop
"Walton Passion BX510U Core i5 10th Gen 15.6"" FHD Laptop","64,550",https://www.startech.com.bd/walton-passion-bx510u-core-i5-10th-gen-laptop
"HP 15s-fq5786TU Core i3 12th Gen 15.6"" FHD Laptop","64,700",https://www.startech.com.bd/hp-15s-fq5786tu-core-i3-12th-gen-laptop
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop with 256GB SSD+1TB HDD","59,500",https://www.startech.com.bd/asus-vivobook-15-x515ja-i5-10th-gen-fhd-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 8GB RAM 15.6"" FHD Laptop","65,500",https://www.startech.com.bd/asus-vivobook-15-x1502za-i3-12th-gen-fhd-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop","66,000",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-fhd-laptop
"Lenovo K14 Core i3 11th Gen 14"" FHD Business Series Laptop","66,500",https://www.startech.com.bd/lenovo-k14-core-i3-11th-gen-laptop
"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop","68,500",https://www.startech.com.bd/asus-vivobook-15-x515ea-i5-11th-gen-laptop
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14"" FHD Laptop","69,000",https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-fhd-laptop
"Asus Vivobook S15 S513EA Core i3 11th Gen 15.6"" OLED FHD Laptop","69,800",https://www.startech.com.bd/asus-vivobook-s15-s513ea-core-i3-11th-gen-oled-laptop
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop","69,800",https://www.startech.com.bd/asus-vivobook-15-x1502za-core-i3-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 14IRU8 Core i3 13th Gen 14"" FHD Laptop","70,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-14iru8-core-i3-13th-gen-laptop
"ASUS Vivobook 15 X1504VA-NJ260W Core i3 13th Gen 15.6"" FHD Laptop","70,800",https://www.startech.com.bd/asus-vivobook-15-x1504va-nj260w-core-i3-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Soft Lavender","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-soft-lavender
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Infinite Black","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-infinite-black
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Star Silver","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-star-silver
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Aqua Blue","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-aqua-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Anchor Grey","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-anchor-grey
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Golden Matt Black","70,950",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-golden-matt-black
"ASUS Vivobook 15 M1502IA-EJ388W Ryzen 5 4600H 15.6"" FHD Laptop","71,000",https://www.startech.com.bd/asus-vivobook-15-m1502ia-ej388w-ryzen-5-laptop
"HP 15s-fq4786TU Core i5 11th Gen 15.6"" FHD Laptop","71,300",https://www.startech.com.bd/hp-15s-fq4786tu-core-i5-11th-gen-laptop
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 8GB RAM 14"" FHD Laptop","71,500",https://www.startech.com.bd/asus-vivobook-14-x1402za-core-i3-12th-gen-laptop
"ASUS VivoBook X1402ZA-EB636W Core i3 12th Gen 14"" FHD Laptop","71,500",https://www.startech.com.bd/asus-vivobook-x1402za-eb636w-core-i3-12th-gen-laptop
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Flowers on Yellow","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-flowers-on-yellow
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Iris on Ruby","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-iris-on-ruby
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Paisley on Lilac","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-paisley-on-lilac
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Azure Blue","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-azure-blue
"Avita Liber V14 Core i5 11th Gen 14"" FHD Laptop Snowflakes on Mountain Blue","71,990",https://www.startech.com.bd/avita-liber-v14-core-i5-11th-gen-laptop-snowflakes-on-mountain-blue
"HP 15s-eq3619AU Ryzen 5 5625U 15.6"" FHD Laptop","73,200",https://www.startech.com.bd/hp-15s-eq3619au-ryzen-5-5625u-laptop
"Realme Book Core i5 11th Gen 14"" 2k UHD Laptop","73,300",https://www.startech.com.bd/realme-book-core-i5-laptop
"Lenovo IdeaPad Slim 3i 15ITL6 Core i5 11th Gen 15.6"" FHD Laptop","73,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15itl6-core-i5-11th-gen-laptop
"Realme Book Prime Core i5 11th Gen 14"" 2K UHD Laptop","74,000",https://www.startech.com.bd/realme-book-prime-core-i5-laptop
"Lenovo IdeaPad Slim 3i Core i5 11th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/lenovo-ideapad-slim-3i-i5-11th-gen-fhd-laptop
"Acer Aspire 3 A315-59-5031 Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-5031-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-57VA Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-57va-i5-12th-gen-laptop
"Acer Aspire 3 A315-59-50J9 Core i5 12th Gen 15.6"" FHD Laptop","74,000",https://www.startech.com.bd/acer-aspire-3-a315-59-50j9-i5-12th-gen-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD IPS Display Laptop","74,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-i5-laptop
"Walton Tamarind MX511G Core i5 11th Gen 14"" FHD Laptop","74,500",https://www.startech.com.bd/walton-tamarind-mx511g-core-i5-11th-gen-laptop
"Lenovo IdeaPad Slim 3i 11th Gen Core i5 15.6"" FHD Laptop with 3 Years Warranty","74,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-11th-gen-core-i5-fhd-laptop
"Walton Passion BX710U Core i7 10th Gen 15.6"" FHD Laptop","74,550",https://www.startech.com.bd/walton-passion-bx710u-core-i7-10th-gen-laptop
"Lenovo IdeaPad Slim 3i Core i5 12th Gen 14"" FHD Laptop","75,500",https://www.startech.com.bd/lenovo-ideapad-slim-3i-core-i5-12th-gen-fhd-laptop
